Male,AlcYearTotal,EverHadAlcohol,Married,Under21,AlcoholAbuse,White,Black,Asian,Hispanic,LessHighS,HighSchool,SomeCollege,CollegeGrad,Employed,Unemployed,Student/Other,Less20k,20-50k,50-75k,Over75k
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,12,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,52,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,208,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,52,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,120,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,156,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
0,104,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,240,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,4,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
1,24,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,288,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,104,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,52,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,48,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,11,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,260,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,84,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,156,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,12,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
1,156,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,104,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,10,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
1,52,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,15,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,52,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,363,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
0,90,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,36,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,208,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
0,52,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
1,36,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1,96,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
0,180,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
1,52,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
0,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,156,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,240,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,104,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,104,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,104,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1,52,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,15,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
0,240,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,339,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,48,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,36,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
0,156,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,12,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,7,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,361,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,12,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
0,312,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
